epoch,batch,train_loss,train_recon_loss,train_kl_loss,val_loss,val_recon_loss,val_kl_loss,lr,beta,grad_norm,time_elapsed
1,363,74358.66556490384,72916.53929859203,22098937.121191926,64317.010680379746,64311.951443829115,5059.454633109177,0.0001,0.0001,nan,55.5259530544281
2,363,64628.88332760989,64614.49109289148,100047.14306640625,61799.46227254747,61775.3885977057,24073.567438439477,0.0002,0.0002,nan,114.11077642440796
3,363,57605.98363452953,57403.27170973558,804248.7636396806,53143.18824169304,53122.527590981015,20660.537208267404,0.0003,0.0003,nan,170.42962431907654
4,363,52681.74913075206,48114.4963620364,12526403.747963706,44421.61471518988,44400.901255933546,20713.43846420095,0.0004,0.0004,nan,226.8438925743103
5,363,6917822343596.133,38008.09270368303,1.4226794723711274e+16,27359.41077432753,27062.87767009494,296533.07990506326,0.0005,0.0005,nan,282.9517583847046
6,363,27173.632560310783,27134.721175309067,68461.23459499485,22750.535106803796,22542.28053303006,208254.56210443037,0.0006,0.0006,nan,339.209468126297
7,363,17919.19696514423,17909.756908374828,14887.11526120364,13680.04530508307,13671.772547468354,8272.757002818433,0.0007,0.0007,nan,395.31291007995605
8,363,15957195912.164183,11404.629415994163,22517311051539.395,2663.7389055083067,2653.1201140971125,10618.778184335442,0.0008,0.0008,nan,451.9507896900177
9,363,50748.86966378348,7326.037615094866,50691591.65865251,5967.137818928007,5959.36474609375,7773.060206932358,0.0009000000000000001,0.0009000000000000001,nan,508.3663613796234
10,363,10233.882579456676,5382.798588692321,5131322.178962477,1458.7970140674447,1405.8953223892406,52901.687203322785,0.0009997252747252748,0.001,nan,563.6813385486603
