epoch,batch,train_loss,train_recon_loss,train_kl_loss,train_acc,val_loss,val_recon_loss,val_kl_loss,val_acc,lr,beta,grad_norm,time_elapsed
1,444,222678.86028792136,222678.86028792136,0.432364265135165,0.7662921348314606,223011.18912760416,223011.18912760416,0.13104490159700313,0.73828125,1e-08,2.0000000000000002e-07,379466.3125,235.0736346244812
2,444,216654.14058988765,216654.14058988765,0.5937342712048734,0.753370786516854,216969.02962239584,216969.02962239584,0.2907137641062339,0.73828125,2e-08,4.0000000000000003e-07,369877.4375,475.48878931999207
3,444,211222.6367275281,211222.6367275281,0.8378469666738189,0.7601123595505618,211518.9031575521,211518.9031575521,0.5374078253904978,0.73828125,3e-08,6.000000000000001e-07,365199.1875,714.5140674114227
4,444,206237.77226123595,206237.77226123595,1.1496187451180446,0.7575842696629214,206518.0919596354,206518.0919596354,0.8492802555362383,0.73828125,4e-08,8.000000000000001e-07,368117.53125,953.401202917099
5,444,201831.59037921348,201831.59037921348,1.542279540019089,0.7606741573033707,202087.90869140625,202087.90869140625,1.2413856945931911,0.73828125,5e-08,1.0000000000000002e-06,355570.0,1192.5220348834991
6,444,197944.28521769663,197944.28521769663,2.0234293313508624,0.7539325842696629,198189.955078125,198189.955078125,1.7253474295139313,0.73828125,6e-08,1.2000000000000002e-06,354678.28125,1431.4526858329773
7,444,194537.25681179776,194537.25681179776,2.521765728746907,0.7612359550561798,194755.4773763021,194755.4773763021,2.231202892959118,0.73828125,7e-08,1.4000000000000001e-06,350606.125,1670.5131158828735
8,444,191518.38669241572,191518.38669241572,3.0365875142343928,0.7528089887640449,191712.25130208334,191712.25130208334,2.8001622458299003,0.73828125,8e-08,1.6000000000000001e-06,353077.34375,1909.5595943927765
9,444,188841.4900280899,188841.4900280899,3.9511608096990694,0.7581460674157303,188995.81640625,188995.81640625,3.8503268683950105,0.73828125,9e-08,1.8000000000000001e-06,362455.5,2148.5625607967377
10,444,186392.9771769663,186392.9771769663,5.556672499153051,0.7519662921348315,186522.72428385416,186522.72428385416,6.016920601328214,0.73828125,1e-07,2.0000000000000003e-06,355830.8125,2387.3447008132935
11,444,184154.1074789326,184154.1074789326,9.354280043184087,0.7651685393258427,184244.47884114584,184244.47884114584,11.9571120540301,0.73828125,1.0999999999999999e-07,2.2e-06,352929.90625,2628.2114160060883
12,444,182093.453125,182093.453125,20.282646067758623,0.7606741573033707,182119.33349609375,182119.33349609375,30.85161727666855,0.7395833333333334,1.2e-07,2.4000000000000003e-06,367867.25,2867.1041707992554
13,444,180103.15635533707,180103.15635533707,77.06892223572463,0.7573033707865169,179959.23486328125,179959.23486328125,146.52424240112305,0.73828125,1.3e-07,2.6e-06,358109.09375,3106.1001756191254
14,444,177423.3542485955,177423.3542485955,633.2539662221844,0.7592696629213483,175767.3330078125,175767.3173828125,1787.8230806986492,0.7369791666666666,1.4e-07,2.8000000000000003e-06,357777.375,3344.9044468402863
15,444,158228.23686797754,158227.88832514046,117374.31303628643,0.7601123595505618,132052.27075195312,132045.07364908853,719748.9534505209,0.7578125,1.5e-07,3e-06,561425.6875,3583.7546577453613
16,444,121040.89259129214,121034.42159410112,2080205.1743504214,0.7623595505617977,112311.7471516927,112285.03295898438,2671437.4375,0.7434895833333334,1.6e-07,3.2000000000000003e-06,605921.75,3822.728279352188
17,444,105955.53079353932,105926.91990870786,8648470.702949438,0.7525280898876404,99133.45491536458,99033.8447265625,9961049.96875,0.7486979166666666,1.7000000000000001e-07,3.4000000000000005e-06,571314.125,4061.599502801895
18,444,93689.55695224719,93600.06460674158,25536886.6622191,0.7598314606741573,87661.4569498698,87375.26147460938,28619532.104166668,0.73828125,1.8e-07,3.6000000000000003e-06,542226.0625,4300.414373874664
19,444,82667.45544241572,82579.60142205056,23761038.87738764,0.7575842696629214,76867.4393717448,76625.2647298177,24217466.979166668,0.7408854166666666,1.8999999999999998e-07,3.8000000000000005e-06,522336.21875,4539.423530101776
20,444,72447.17252457865,72369.25265976123,19995624.951360606,0.7609550561797753,66885.34041341145,66686.08695475261,19925354.833333332,0.7473958333333334,2e-07,4.000000000000001e-06,484967.90625,4778.275309801102
21,444,62785.44144136236,62719.54151158708,16080680.461699,0.7606741573033707,57555.43094889323,57395.0254313151,16040569.625,0.74609375,2.0999999999999997e-07,4.2000000000000004e-06,453011.0,5018.793263196945
22,444,53976.682935393255,53919.41208742977,13319296.361955758,0.7603932584269663,49078.609537760414,48944.48994954427,13411947.354166666,0.7447916666666666,2.1999999999999998e-07,4.4e-06,405843.90625,5257.602685451508
23,444,46092.740809339884,46031.49068644663,13614316.313342696,0.7637640449438202,41575.31530761719,41443.41853841146,13189660.5625,0.7486979166666666,2.3e-07,4.600000000000001e-06,382619.65625,5496.4848091602325
24,444,38981.01738939607,38922.13728054775,12532926.317907304,0.7603932584269663,34858.81396484375,34743.07995605469,11573398.270833334,0.7552083333333334,2.4e-07,4.800000000000001e-06,323727.625,5735.380642414093
25,444,32373.79225772472,32328.992885358148,9145707.04127458,0.7679775280898876,28710.53564453125,28630.325459798176,8021021.833333333,0.765625,2.5e-07,5e-06,375444.125,5974.250756978989
26,444,26920.50239641854,26886.28473929073,6713882.521580934,0.7699438202247191,23761.27215576172,23702.344502766926,5892764.322916667,0.7526041666666666,2.6e-07,5.2e-06,230168.96875,6213.144653081894
