epoch,batch,mu_mean,mu_std,logvar_mean,logvar_std,actual_var
1,0,-0.008458144031465054,0.559607982635498,-0.012964639812707901,0.5655308365821838,1.158517599105835
1,100,-0.0003295815840829164,0.01199378166347742,0.002919582650065422,0.012932837009429932,1.0030076503753662
1,200,-0.00030433543724939227,0.012520765885710716,0.015281056985259056,0.014746466651558876,1.0155088901519775
1,300,-7.491683936677873e-05,0.016701029613614082,0.060488197952508926,0.029446830973029137,1.0628230571746826
1,400,4.266342148184776e-05,0.033669363707304,0.21159571409225464,0.09131740778684616,1.2411119937896729
1,500,0.006379072554409504,0.14033737778663635,0.9473927021026611,0.430076003074646,2.913677215576172
1,600,0.04451261833310127,0.9591391086578369,7.085713863372803,4.121558666229248,1338086.25
2,0,0.07943165302276611,4.357169151306152,10.721369743347168,36.100059509277344,inf
2,100,nan,nan,nan,nan,nan
2,200,nan,nan,nan,nan,nan
2,300,nan,nan,nan,nan,nan
2,400,nan,nan,nan,nan,nan
2,500,nan,nan,nan,nan,nan
2,600,nan,nan,nan,nan,nan
3,0,nan,nan,nan,nan,nan
3,100,nan,nan,nan,nan,nan
3,200,nan,nan,nan,nan,nan
3,300,nan,nan,nan,nan,nan
3,400,nan,nan,nan,nan,nan
3,500,nan,nan,nan,nan,nan
3,600,nan,nan,nan,nan,nan
4,0,nan,nan,nan,nan,nan
4,100,nan,nan,nan,nan,nan
4,200,nan,nan,nan,nan,nan
4,300,nan,nan,nan,nan,nan
4,400,nan,nan,nan,nan,nan
4,500,nan,nan,nan,nan,nan
4,600,nan,nan,nan,nan,nan
5,0,nan,nan,nan,nan,nan
5,100,nan,nan,nan,nan,nan
5,200,nan,nan,nan,nan,nan
5,300,nan,nan,nan,nan,nan
5,400,nan,nan,nan,nan,nan
5,500,nan,nan,nan,nan,nan
5,600,nan,nan,nan,nan,nan
6,0,nan,nan,nan,nan,nan
6,100,nan,nan,nan,nan,nan
6,200,nan,nan,nan,nan,nan
6,300,nan,nan,nan,nan,nan
6,400,nan,nan,nan,nan,nan
6,500,nan,nan,nan,nan,nan
6,600,nan,nan,nan,nan,nan
7,0,nan,nan,nan,nan,nan
7,100,nan,nan,nan,nan,nan
7,200,nan,nan,nan,nan,nan
7,300,nan,nan,nan,nan,nan
7,400,nan,nan,nan,nan,nan
7,500,nan,nan,nan,nan,nan
7,600,nan,nan,nan,nan,nan
8,0,nan,nan,nan,nan,nan
8,100,nan,nan,nan,nan,nan
8,200,nan,nan,nan,nan,nan
8,300,nan,nan,nan,nan,nan
8,400,nan,nan,nan,nan,nan
8,500,nan,nan,nan,nan,nan
8,600,nan,nan,nan,nan,nan
9,0,nan,nan,nan,nan,nan
9,100,nan,nan,nan,nan,nan
9,200,nan,nan,nan,nan,nan
9,300,nan,nan,nan,nan,nan
9,400,nan,nan,nan,nan,nan
9,500,nan,nan,nan,nan,nan
9,600,nan,nan,nan,nan,nan
10,0,nan,nan,nan,nan,nan
10,100,nan,nan,nan,nan,nan
10,200,nan,nan,nan,nan,nan
10,300,nan,nan,nan,nan,nan
10,400,nan,nan,nan,nan,nan
10,500,nan,nan,nan,nan,nan
10,600,nan,nan,nan,nan,nan
