epoch,train_loss,train_recon_loss,train_kl_loss,val_loss,val_recon_loss,val_kl_loss,lr,time_elapsed
1,1876515280.5798142,3683713.860078829,1872831570.67129,1267551.8307291667,430096.3326822917,837455.4973958334,0.001,55.80158019065857
2,47219904.252393015,1040731.9806447072,46179172.186582826,339763.8483072917,329290.3359375,10473.513020833334,0.001,133.49709916114807
3,5491564.384712838,487665.91701858107,5003898.410511464,339361.0872395833,335515.1302083333,3845.955795288086,0.001,206.90715670585632
4,6685116.32347973,468885.7146677928,6216230.60423485,363673.9108072917,360503.8541666667,3170.054931640625,0.001,280.2160577774048
5,27898466.98416385,699775.206714527,27198691.949114274,352727.947265625,350462.8111979167,2265.135538736979,0.001,335.42366123199463
6,5774317.7419763515,425427.45129504503,5348890.158023869,330717.7766927083,327244.92578125,3472.851476033529,0.001,390.6329662799835
7,1335055.4466497747,365028.8103885135,970026.624009141,333656.3313802083,331307.3014322917,2349.0291035970054,0.001,464.1231052875519
8,930382.9959177928,357273.05363175675,573109.949675139,507857.2727864583,484081.6158854167,23775.656575520832,0.001,519.3411076068878
9,4857023.181869369,391569.6512528153,4465453.523917533,329959.4264322917,323772.8567708333,6186.570983886719,0.001,574.5898954868317
10,1885677.9460867117,365195.5497606982,1520482.3783255913,320056.2483723958,316464.7926432292,3591.454630533854,0.001,648.0801703929901
11,2441851.443975225,381447.5344876126,2060403.8597478094,322719.142578125,319643.60546875,3075.53737894694,0.001,727.3986794948578
12,1231288.1471002253,370877.3548704955,860410.8091920045,399558.375,397593.94921875,1964.4259338378906,0.001,782.644514799118
13,758127.5573620496,349792.7536599099,408334.7932777748,328520.6044921875,324666.2158203125,3854.3888041178384,0.001,838.0059180259705
14,452482.1595579955,348051.85374436935,104430.30446150496,323203.380859375,320274.0234375,2929.3577168782554,0.001,893.2935237884521
15,861484.3231981982,355954.0273789414,505530.29979204055,322306.7786458333,319473.8277994792,2832.949620564779,0.001,948.7158324718475
