epoch,train_loss,train_recon_loss,train_kl_loss,val_loss,val_recon_loss,val_kl_loss,lr,time_elapsed
1,386411143.39939094,383186.5064256657,386027955.8016518,95021.52979525863,94010.6031788793,1010.9268899851832,0.001,43.321088790893555
2,3651138.5484467456,88595.89952963202,3562542.631507287,71916.77726293103,70456.4369612069,1460.340234375,0.001,94.35622930526733
3,1202343.4465953216,79368.45477186576,1122974.99893044,71611.19533943966,70133.10552262931,1478.0897393588361,0.001,141.41648149490356
4,205345.941527598,74468.46898691753,130877.47293289455,72161.08141163793,70520.27955280173,1640.8017451845367,0.001,188.30560445785522
5,102366.32083256287,73180.32345021264,29185.997366549702,79409.38717672414,77730.0262661638,1679.3606840988684,0.001,230.65361618995667
6,121510.11084851147,74044.75810720229,47465.35268623307,72864.31963900862,71591.07664331897,1273.2434115705819,0.001,273.03446793556213
7,118175.94039501665,73523.8881344767,44652.052375026,73889.72526939656,72629.3075700431,1260.4175654970365,0.001,315.4141175746918
8,240288.28523714867,74492.48556536612,165795.79723371696,69809.5328125,68813.8880387931,995.6447156182651,0.001,357.7771317958832
9,205544.33144184542,75545.17586214867,129999.15634967871,77001.97405711206,76041.3171875,960.6568481445313,0.001,404.7141799926758
10,235931.2090306028,77035.59389446191,158895.61708502233,70747.67535021552,69583.90185883621,1163.7733070110453,0.001,447.08539032936096
11,150563.05571606877,75148.04004484098,75415.01783887875,72183.3523976293,70790.34471982758,1393.0076786435884,0.001,493.76063680648804
12,74359.94975036982,72828.8863778199,1531.0633045625405,73983.94727909483,73331.24857219828,652.6987814015356,0.001,536.2468500137329
13,78359.88451137205,73802.4317388591,4557.452748134997,68639.70988685345,67714.99100215518,924.7189638335129,0.001,578.6943461894989
14,158358.73006425667,74869.45764954697,83489.27024647187,76723.49339978448,75839.88938577587,883.6037589237608,0.001,625.4687159061432
15,74901.93451252773,73536.99367256842,1364.9408642469778,72425.60778556035,71539.14593211206,886.4617991480334,0.001,667.8679993152618
16,74808.45439626479,73450.16120793269,1358.2931913116274,70794.02893318965,70187.61993534483,606.4091468547953,0.001,710.3422541618347
17,73952.35598303439,72944.83437153291,1007.5215566059542,83586.39132543103,83046.15754310344,540.2337943241514,0.001,752.7732195854187
18,74943.05481462648,73412.00299902921,1531.0517644938632,88409.54913793104,87855.9567887931,553.5923701845367,0.001,795.2566676139832
