epoch,batch,train_loss,train_recon_loss,train_kl_loss,train_recon_corr,train_latent_quality,train_sharpness,val_loss,val_recon_loss,val_kl_loss,val_recon_corr,val_latent_quality,val_sharpness,lr,beta,grad_norm,time_elapsed
1,444,162134.7373332163,158662.17765976125,347256.014507453,0.00025462173501545184,0.6736900298086862,0.7514231542542062,42293.711751302086,31502.644694010418,1079106.7259114583,0.004409322100315194,0.00011932783251670072,2.3490353039226166,1e-05,0.01,481496.375,133.1454164981842
2,444,nan,nan,nan,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,2e-05,0.01,nan,267.84959650039673
3,444,nan,nan,nan,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,3e-05,0.01,nan,399.02958250045776
4,444,nan,nan,nan,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,4e-05,0.01,nan,530.2059507369995
5,444,nan,nan,nan,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,5e-05,0.01,nan,661.3703491687775
6,444,nan,nan,nan,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,4.998769829017084e-05,0.01,nan,792.5795896053314
7,444,nan,nan,nan,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,4.995080661242243e-05,0.01,nan,923.7801747322083
8,444,nan,nan,nan,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,4.988936530726276e-05,0.01,nan,1054.9747161865234
9,444,nan,nan,nan,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,4.980344155985695e-05,0.01,nan,1186.1879403591156
10,444,nan,nan,nan,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,4.9693129326561254e-05,0.01,nan,1317.3124244213104
11,444,nan,nan,nan,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,4.955854923218321e-05,0.01,nan,1449.7415661811829
12,444,nan,nan,nan,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,4.939984843808013e-05,0.01,nan,1580.8527331352234
13,444,nan,nan,nan,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,4.921720048124035e-05,0.01,nan,1711.9912819862366
14,444,nan,nan,nan,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,4.901080508452305e-05,0.01,nan,1843.1634821891785
15,444,nan,nan,nan,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,4.878088793826428e-05,0.01,nan,1974.3189878463745
16,444,nan,nan,nan,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,4.8527700453487873e-05,0.01,nan,2105.4679477214813
17,444,nan,nan,nan,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,4.825151948699116e-05,0.01,nan,2236.619141817093
18,444,nan,nan,nan,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,4.795264703860616e-05,0.01,nan,2367.735921859741
19,444,nan,nan,nan,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,4.763140992096718e-05,0.01,nan,2498.844560623169
