epoch,batch,train_loss,train_recon_loss,train_kl_loss,train_recon_corr,train_latent_quality,train_sharpness,val_loss,val_recon_loss,val_kl_loss,val_recon_corr,val_latent_quality,val_sharpness,lr,beta,grad_norm,time_elapsed
1,221,181550.83495213964,181550.8314329955,0.4056481236323446,3.0020523579985144e-05,0.9692124958897055,0.25101007232307204,177456.33723958334,177456.32161458334,1.801306203007698,1.1019552086821705e-05,0.8504683866910018,0.25129077051670745,1e-05,0.01,309561.1875,49.903106689453125
2,221,92601.10619897241,92057.29271361206,54381.370266420345,0.1284527057344867,0.16383062524016914,0.9777428103867745,10378.775797526041,9872.3728129069,50640.297200520836,0.42488254682070364,0.006593143340277584,0.43627170979761526,2e-05,0.01,19829.3828125,103.2198600769043
3,221,10999.953061215512,10363.497248469172,63645.58467060811,0.5886456747214873,0.008012480238614708,0.22871562447988536,6408.371205647786,6084.25932820638,32411.189982096355,0.6653402005742667,0.010904764975679817,0.09494828236129595,3e-05,0.01,20013.435546875,154.04953050613403
4,221,7423.566049936655,7100.404247387036,32316.180303350226,0.6692171067687439,0.013167449893348435,0.0810942646170524,6009.687601725261,5779.240198771159,23044.737223307293,0.6839173926402711,0.017282980106206557,0.07101355182960235,4e-05,0.01,38524.3359375,204.8097321987152
5,221,7260.528440183348,6993.691978110924,26683.644460867115,0.6812591069474447,0.0189370998114256,0.06853624282053579,5735.118174235026,5536.269444783528,19884.871459960938,0.6930285937010517,0.023707761177751325,0.05885598444003107,5e-05,0.01,12736.0537109375,255.58613467216492
6,221,6732.139564857826,6513.527310758023,21861.230103638794,0.6900935445970915,0.025650871455462746,0.06150840312209032,5489.208394368489,5338.395462036133,15081.293192545572,0.698146377709539,0.03231540215725616,0.058728288728286226,4.998769829017084e-05,0.01,35109.73046875,306.3720397949219
7,221,6650.149202913852,6455.219155801309,19493.004904807152,0.6948448121862335,0.03293518607436919,0.05961046276250278,5498.971618652344,5348.547704060872,15042.388346354166,0.7015173318472484,0.03741468889796309,0.05072528821732666,4.995080661242243e-05,0.01,39090.578125,357.131142616272
8,221,6567.725513355152,6390.09284711958,17763.267947635137,0.6986384788729452,0.03955928982206769,0.05527338233774553,5590.837005615234,5460.138671875,13069.836364746094,0.6948627004684466,0.04474664042828686,0.051100212501969666,4.988936530726276e-05,0.01,22657.912109375,406.51284861564636
9,221,6613.067289335234,6439.374380850577,17369.291345544763,0.6991798078582563,0.04251438290759101,0.05529414875430362,5324.419820149739,5187.956720987956,13646.31093343099,0.7077132760378947,0.04572528617791278,0.05153670713447173,4.980344155985695e-05,0.01,7521.3818359375,455.9787609577179
10,221,6433.885518941794,6247.589347770622,18629.616061373872,0.7038719259319944,0.042782023316575685,0.05403785913410598,5341.448593139648,5202.009419759114,13943.920186360678,0.7095703851664439,0.04619909126333951,0.048722689369514786,4.9693129326561254e-05,0.01,4612.00390625,506.7862787246704
11,221,6457.880550350154,6269.612362973325,18826.817448796453,0.7075123620924313,0.04376463719130715,0.05312495622467201,5627.115061442058,5468.037521362305,15907.75840250651,0.7101438823932161,0.04510750346313499,0.043722530280650936,4.955854923218321e-05,0.01,42331.359375,558.1888279914856
12,221,6442.70788684192,6241.666743647945,20104.114152238177,0.7103503103670035,0.0439427739671971,0.05398649603182861,5373.255544026692,5214.241963704427,15901.361897786459,0.7079843767957451,0.0462588478814703,0.05281258883594697,4.939984843808013e-05,0.01,24638.8515625,607.4664585590363
13,221,6316.396533862964,6112.5588785807295,20383.770085515203,0.7099033721705882,0.043805322790905106,0.055971841766372245,5936.982269287109,5765.401387532552,17158.089701334637,0.7128261762748783,0.045554555693444854,0.05308855844452631,4.921720048124035e-05,0.01,22319.5546875,656.747713804245
14,221,6246.042273719032,6024.852039783925,22119.02289203266,0.7117263142204097,0.04272371532384128,0.05787392941880263,5629.2315673828125,5433.295166015625,19593.64188639323,0.7153760073059755,0.044136590446778264,0.047663141362424305,4.901080508452305e-05,0.01,31027.794921875,706.0464854240417
15,221,6287.363803622959,6059.078241571649,22828.558294622748,0.7156641446934963,0.04266895639029567,0.05810872279301618,5185.362075805664,4990.399607340495,19496.2509765625,0.7199273891876348,0.044111656746418836,0.053254786327899435,4.878088793826428e-05,0.01,2639.129150390625,755.3270812034607
16,221,6311.695117847339,6098.526461764499,21316.86788253097,0.7162180450610682,0.04469886395672517,0.05923115367315108,5180.587743123372,5002.293970743815,17829.377522786457,0.7207764014601707,0.047089120236977255,0.057053306817938014,4.8527700453487873e-05,0.01,19526.748046875,805.9263150691986
17,221,6049.657588374507,5838.292767498944,21136.481814822637,0.7187038129824843,0.045880929818908456,0.06045909649781227,5420.0177663167315,5233.57297261556,18644.479329427082,0.7162928852873544,0.04649403191793048,0.05206033178790594,4.825151948699116e-05,0.01,7653.4580078125,856.5806264877319
18,221,6095.416103603604,5886.658947643933,20875.716893651464,0.7192850149916233,0.04555023102930503,0.0596008879371181,5247.6626383463545,5068.6203206380205,17904.23514811198,0.7208346832388391,0.04709894331295564,0.05610538921833964,4.795264703860616e-05,0.01,5123.41455078125,905.8478095531464
19,221,6164.78558404596,5949.112511437218,21567.30981665259,0.7187357314082014,0.045122571563445575,0.06253388169505056,5122.461573282878,4941.550572713216,18091.102416992188,0.7244872696594231,0.0472399168124375,0.05921352362398247,4.763140992096718e-05,0.01,2374.370361328125,955.1731503009796
