epoch,batch,train_loss,train_recon_loss,train_kl_loss,val_loss,val_recon_loss,val_kl_loss,lr,beta,grad_norm,time_elapsed
1,363,74049.8309581044,72956.5667711195,21168956.50186481,61864.938587816454,61305.23422666139,559704.3644664136,0.0001,0.0001,nan,56.37090730667114
2,363,64791.1392084478,64734.30393629808,377623.1021956559,63006.7519778481,62986.30389636076,20448.061671776108,0.0002,0.0002,nan,114.37029027938843
3,363,57447.35072544643,57340.54820570055,409842.7289529318,53243.14601463608,53118.592711629746,124553.28980419303,0.0003,0.0003,nan,169.93550634384155
4,363,17189084517.47684,48294.02402773008,43976239808591.56,33850.72834256329,33673.01297962816,177715.4588607595,0.0004,0.0004,nan,226.41650819778442
5,363,37381.52566427713,37371.74602399553,23187.37611875429,32293.97616693038,32289.18846420095,4787.766088558149,0.0005,0.0005,nan,283.01530289649963
6,363,27104.910859160373,27099.579353751717,9644.495601444454,22712.6132565269,22707.227056962027,5386.243565812895,0.0006,0.0006,nan,339.50419449806213
7,363,2910038378.7626843,18618.30948177799,4600026554552.702,14353.375667523735,14346.679823477058,6695.872107397152,0.0007,0.0007,nan,395.773184299469
8,363,nan,nan,nan,nan,nan,nan,0.0008,0.0008,nan,452.09342765808105
9,363,nan,nan,nan,nan,nan,nan,0.0009000000000000001,0.0009000000000000001,nan,507.7133569717407
10,363,nan,nan,nan,nan,nan,nan,0.001,0.001,nan,564.0736227035522
11,363,nan,nan,nan,nan,nan,nan,0.0009996954135095479,0.001,nan,620.6702206134796
12,363,nan,nan,nan,nan,nan,nan,0.0009987820251299122,0.001,nan,676.1849057674408
