epoch,batch,train_loss,train_recon_loss,train_kl_loss,val_loss,val_recon_loss,val_kl_loss,lr,beta,grad_norm,time_elapsed
1,363,84845.27399553571,71890.6155992445,59357576.09921013,666353530161938.5,63321.36867088608,6.663535409741233e+16,0.0001,0.001,nan,56.845885038375854
2,363,79315.559205443,64399.468202695745,12278085.65676511,61587.799940664554,61479.81432950949,10798.565992138054,0.0002,0.002,nan,117.0330638885498
3,363,60791.63827481113,57171.05161830357,1524840.8563339736,53051.397399129746,52781.329064477846,27006.83925039557,0.0003,0.003,nan,175.3675925731659
4,363,54096.1813723386,48161.55650111607,1723704.3113114913,43458.43621439873,42651.209899129746,80722.62663172468,0.0004,0.004,nan,233.76005005836487
5,363,134439.08419363838,38025.39164448832,22687332.36816138,31947.02467365506,30306.34142602848,164068.33158623418,0.0005,0.005,nan,292.32306694984436
6,363,28431.024644788806,27768.89685997596,115722.36604459993,22685.78772745253,22561.83613528481,12395.15491495253,0.0006,0.006,nan,351.07231879234314
7,363,19019.26695570055,18528.77273995536,78586.68053260216,15413.163432060917,15221.61268789557,19155.07792721519,0.0007,0.006999999999999999,nan,409.57936215400696
8,363,11491.618828071343,10434.410385634874,138410.77113828555,7149.036448032041,7087.914896904667,6112.152720777294,0.0008,0.008,nan,468.3626208305359
9,363,5000.189669766269,4949.011614118303,5981.23051570012,3154.0843614022942,3085.7824923358385,6830.188272596914,0.0009000000000000001,0.009000000000000001,nan,527.1495444774628
10,363,2347.8840130816448,2208.609357561384,14917.910005674257,1641.6874474634099,1586.6153178154668,5507.2131378560125,0.001,0.01,nan,585.8434450626373
11,363,962.3940451695369,915.0141524010962,4737.98916391226,148.99321611621713,129.87019299857224,1912.3022862687897,0.0009996954135095479,0.01,nan,646.8172042369843
12,363,85.13960743998433,74.92374886523237,1021.5858585231907,49.491024017333984,44.36372032648401,512.7303810602502,0.0009987820251299122,0.01,nan,706.242086648941
13,363,56.86161552680718,53.37711721986205,348.4498277601305,47.29090765458119,44.952222027356115,233.8685835826246,0.0009972609476841367,0.01,nan,764.7297196388245
14,363,53.039744901133105,50.19278938691695,284.6955426394284,56.85257527798037,54.95669328713719,189.58820024321352,0.0009951340343707852,0.01,nan,823.426075220108
15,363,182.4826958520072,179.86259175394918,262.01043290358325,43.77939571911776,41.61721299569818,216.21827717068828,0.000992403876506104,0.01,nan,878.7541425228119
16,363,71.53409815358592,69.54929950211074,198.47986166817802,46.04167228409007,44.11048908475079,193.1183232174644,0.0009890738003669028,0.01,nan,937.1935608386993
17,363,70.47950935887766,68.65490787631863,182.46011457338437,41.11916621727279,39.724570141562936,139.45964697342885,0.0009851478631379982,0.01,nan,992.8422567844391
18,363,47.8377147087684,45.950199310596176,188.75154296120445,45.01173439508752,43.50792819638796,150.38063773626013,0.0009806308479691594,0.01,nan,1050.8698573112488
19,363,87.21642741004189,85.37845668687925,183.79703469328828,44.29545718808718,42.92514144318013,137.031606070603,0.0009755282581475768,0.01,nan,1106.340802192688
20,363,49.63679710325304,47.94771235853761,168.9084904010479,42.86635401279111,40.37110632884352,249.5247594133208,0.0009698463103929542,0.01,nan,1162.2152497768402
21,363,56.65146289028964,54.94254278874659,170.8919854426122,42.34142066858992,41.00675172443631,133.46687355524378,0.0009635919272833937,0.01,nan,1220.4972681999207
22,363,47.165952127058425,45.54906102065202,161.6891107244806,39.274470944947836,37.48885094364987,178.56203296516514,0.0009567727288213005,0.01,nan,1276.1949605941772
23,363,61.75455631528582,60.09697366022802,165.75824756412715,37.80610726754877,36.513505307933954,129.26018900810917,0.0009493970231495835,0.01,nan,1334.8482739925385
24,363,48.05997203994583,46.545221229175944,151.47507455846767,38.79155948494054,37.134540871728824,165.70186759852155,0.0009414737964294635,0.01,nan,1393.8590240478516
25,363,45.834661242726085,44.316096473526166,151.85648786104642,46.485341760176645,45.23134400572958,125.39976617354381,0.0009330127018922195,0.01,nan,1449.5098311901093
26,363,46.60337078702319,45.05929651365175,154.40742488483806,38.048582801335975,36.52884444707556,151.97384305543537,0.0009240240480782129,0.01,nan,1504.9083347320557
27,363,64.50223161886026,62.952253310234994,154.99780713594876,46.52042654496205,44.59336746795268,192.70591755154766,0.0009145187862775209,0.01,nan,1560.4117336273193
28,363,46.467146134638526,45.03832177801446,142.88244515722926,44.675071716308594,43.31988250152974,135.51891404163987,0.0009045084971874737,0.01,nan,1616.4086270332336
29,363,44.49180024534791,43.08696924461113,140.48310051383552,38.00451288343985,36.705629155605656,129.88838707646238,0.0008940053768033609,0.01,nan,1671.764271736145
30,363,48.653121670523845,47.1260638656197,152.70577927474136,38.37444928326184,36.423063085049016,195.13862783697587,0.000883022221559489,0.01,nan,1727.3802609443665
31,363,44.324765063904145,42.917656143943034,140.7109020778111,39.2361767201484,37.737435546102404,149.87410707111601,0.0008715724127386971,0.01,nan,1785.5635449886322
32,363,43.745142554188824,42.38847893410986,135.66636133717967,46.460756229448926,45.22731602342823,123.34403083897844,0.0008596699001693256,0.01,nan,1841.5492668151855
33,363,42.665749235467594,41.39740347600245,126.83457825210068,38.74897051461135,37.583939153936846,116.50312177440789,0.0008473291852294987,0.01,nan,1897.4470126628876
34,363,43.007558351034646,41.68531180476094,132.2246559059227,36.817086086997506,35.63036921054502,118.67170193829114,0.0008345653031794292,0.01,nan,1953.7003018856049
35,363,43.513172013419016,42.18648985978011,132.66822770925668,64.39940986150428,63.18192165712767,121.7488366621959,0.0008213938048432696,0.01,nan,2012.772699356079
36,363,46.938784452585075,45.632964202335906,130.58202135693895,40.3214346970184,38.850625170937064,147.0809522218342,0.0008078307376628291,0.01,nan,2068.8731968402863
37,363,43.8974498130463,42.605233381082726,129.22164638225848,36.25088546849504,35.102880260612395,114.80053228064429,0.0007938926261462366,0.01,nan,2125.006776332855
38,363,51.02250878365485,49.75921850938063,126.32906423296247,37.77416103701048,36.38846245294885,138.56987067113948,0.0007795964517353734,0.01,nan,2183.866874217987
39,363,42.11375043156383,40.94559974460812,116.81506976452502,38.03602699086636,36.812126232098926,122.3900908458082,0.0007649596321166025,0.01,nan,2239.785347223282
40,363,42.799486086918755,41.56668588093349,123.28002864711887,36.31734159928334,35.228402101540865,108.89395363723176,0.00075,0.01,nan,2296.032294034958
41,363,42.47553800750565,41.277717417413065,119.78206531818097,38.02148758610593,36.925818503657474,109.56692292418661,0.0007347357813929454,0.01,nan,2353.7951896190643
42,363,41.51612616633321,40.273692524040136,124.243377329229,36.880682571024835,35.884915315652194,99.5767121133925,0.0007191855733945387,0.01,nan,2409.6965606212616
43,363,40.790437169127415,39.6227926841149,116.76444596510667,39.53925610795806,38.271054931833774,126.82010737551919,0.0007033683215379002,0.01,nan,2465.6576981544495
44,363,42.42189223425729,41.20760598025479,121.42862206762963,36.03270559673068,34.8225923610639,121.011327622812,0.0006873032967079561,0.01,nan,2521.478718996048
45,363,40.62976017627087,39.43443813952771,119.53221222594544,36.10269935221611,35.05185458026355,105.08445817005786,0.0006710100716628344,0.01,nan,2580.73251581192
46,363,40.42489496692196,39.22670815017197,119.81868500761934,36.37986733641806,35.20854962022999,117.13178060024599,0.0006545084971874737,0.01,nan,2636.3239896297455
47,363,39.30374327334729,38.102188319950315,120.15550215165693,37.242863932742345,36.20226821416541,104.05956577349313,0.0006378186779084996,0.01,nan,2692.4114151000977
48,363,38.82422129662482,37.70761939981482,111.66020060109568,36.33813635910614,35.21643339229536,112.17029841942123,0.0006209609477998338,0.01,nan,2748.2829802036285
49,363,38.82825275567862,37.70607244575417,112.2180408855061,35.47276731080647,34.38784860055658,108.4918819379203,0.0006039558454088796,0.01,nan,2804.200503349304
50,363,63.03735684300517,61.886094900277946,115.12623942029346,38.24049713038191,37.06299175793612,117.75054342535478,0.0005868240888334653,0.01,nan,2863.324374437332
