epoch,batch,train_loss,train_recon_loss,train_kl_loss,val_loss,val_recon_loss,val_kl_loss,lr,beta,grad_norm,time_elapsed
1,364,0.22801855456206824,0.22757266429099407,6.197732895940215,0.19682547318030008,0.1947041442499885,0.4242658298226851,2.5e-06,0.00025,nan,174.47429990768433
2,364,0.206692693570813,0.2065135902919612,0.5432999984330529,0.18705932135823405,0.18605931933167613,0.20000000298023224,5e-06,0.0005,nan,365.485182762146
3,364,0.17722162317771178,0.17709371901966714,0.2044862389237016,0.1622110020510758,0.16121100002451788,0.20000000298023224,7.5e-06,0.00075,nan,552.2767932415009
4,364,0.14781175144426115,0.1476256360228245,0.21247578731604985,0.13395083158076565,0.13295082955420773,0.20000000298023224,1e-05,0.001,nan,738.999226808548
5,364,0.12093314080202318,0.12069200423474495,0.21418979976858413,0.10903245267234271,0.10803245064578479,0.20000000298023224,1.25e-05,0.00125,nan,925.8700470924377
6,364,0.09670684093629921,0.09642617345101885,0.2041184308191577,0.08462759899564937,0.08362759696909144,0.20000000298023224,1.5e-05,0.0015,nan,1112.7739663124084
7,364,0.07368872783423125,0.07335141962291775,0.20752659869881776,0.06258091952981829,0.06158091995535018,0.20000000298023224,1.75e-05,0.0017499999999999998,nan,1299.6041083335876
8,364,0.05312589483315146,0.052738937958665605,0.20635416379177962,0.04312220682637601,0.04212220852510839,0.20000000298023224,2e-05,0.002,nan,1486.4127686023712
9,364,0.03532723403934922,0.03488269051188951,0.2091448755300307,0.027472265866361086,0.026472265726026102,0.20000000298023224,2.25e-05,0.0022500000000000003,nan,1673.141133069992
10,364,0.02114528107487566,0.020616943556508355,0.2220724414583746,0.015092561882036396,0.014092561800645876,0.20000000298023224,2.5e-05,0.0025,nan,1859.9232103824615
11,364,0.010632089005302188,0.010094991135462136,0.2045942454465798,0.0071180806896071645,0.006118080549272178,0.20000000298023224,2.7500000000000004e-05,0.0027500000000000003,nan,2050.5008924007416
12,364,0.005255467196987881,0.004612948668092121,0.22349987715318964,0.004597954068898778,0.003597953981613811,0.20000000298023224,3e-05,0.003,nan,2237.2180211544037
13,364,0.004256336049785694,0.003614417133356475,0.20533009946018785,0.004306230758894471,0.003306230686345621,0.20000000298023224,3.2500000000000004e-05,0.0032500000000000003,nan,2424.0607240200043
