epoch,train_loss,train_acc,val_loss,val_acc,learning_rate,early_stop_counter,timestamp
1,0.810138,0.821021,0.319767,0.899740,0.00100000,0,2025-09-04 11:47:28
2,0.308927,0.890797,0.322466,0.890253,0.00100000,0,2025-09-04 11:47:53
3,0.237403,0.927885,0.315865,0.897879,0.00100000,1,2025-09-04 11:48:17
4,0.142307,0.958426,0.514368,0.892671,0.00100000,0,2025-09-04 11:48:42
5,0.089299,0.973772,0.481195,0.910156,0.00100000,1,2025-09-04 11:49:06
6,0.064264,0.985212,0.696595,0.879464,0.00100000,2,2025-09-04 11:49:30
7,0.049273,0.990792,0.634318,0.906994,0.00100000,3,2025-09-04 11:49:53
8,0.028232,0.993862,0.915764,0.892671,0.00100000,4,2025-09-04 11:50:17
9,0.017500,0.996931,1.165715,0.899368,0.00050000,5,2025-09-04 11:50:41
10,0.004766,0.998605,1.007602,0.897879,0.00050000,6,2025-09-04 11:51:04
11,0.003796,0.999163,0.949510,0.895275,0.00050000,7,2025-09-04 11:51:28
12,0.001221,0.999442,0.945207,0.906994,0.00050000,8,2025-09-04 11:51:52
13,0.001139,0.999721,0.946828,0.906994,0.00050000,9,2025-09-04 11:52:16
14,0.000830,0.999442,0.939417,0.906994,0.00050000,10,2025-09-04 11:52:39
15,0.000903,0.999442,0.937354,0.908296,0.00025000,11,2025-09-04 11:53:03
16,0.000607,0.999721,0.938638,0.908296,0.00025000,12,2025-09-04 11:53:27
17,0.000650,0.999721,0.939037,0.908296,0.00025000,13,2025-09-04 11:53:51
18,0.000650,0.999721,0.937079,0.908296,0.00025000,14,2025-09-04 11:54:15
